Num,iD,ITI_spontaneous,ITI_P-2:3-c7-C7,ITI_P-2:3-c4-C10,ITI_P-2:3-c1-C13,ITI_P-2:3-C7-c7,ITI_P-2:3-C4-c10,ITI_P-2:3-C1-c13,ITI_P-3:4-c7-C7,ITI_P-3:4-c10-C4,ITI_P-3:4-c13-C1,ITI_P-3:4-C7-c7,ITI_P-3:4-C10-c4,ITI_P-3:4-C13-c1,sdITI_spontaneous,sdITI_P-2:3-c7-C7,sdITI_P-2:3-c4-C10,sdITI_P-2:3-c1-C13,sdITI_P-2:3-C7-c7,sdITI_P-2:3-C4-c10,sdITI_P-2:3-C1-c13,sdITI_P-3:4-c7-C7,sdITI_P-3:4-c10-C4,sdITI_P-3:4-c13-C1,sdITI_P-3:4-C7-c7,sdITI_P-3:4-C10-c4,sdITI_P-3:4-C13-c1,TOTALTapNumb_spontaneous,TOTALTapNumb_P-2:3-c7-C7,TOTALTapNumb_P-2:3-c4-C10,TOTALTapNumb_P-2:3-c1-C13,TOTALTapNumb_P-2:3-C7-c7,TOTALTapNumb_P-2:3-C4-c10,TOTALTapNumb_P-2:3-C1-c13,TOTALTapNumb_P-3:4-c7-C7,TOTALTapNumb_P-3:4-c10-C4,TOTALTapNumb_P-3:4-c13-C1,TOTALTapNumb_P-3:4-C7-c7,TOTALTapNumb_P-3:4-C10-c4,TOTALTapNumb_P-3:4-C13-c1,DoubleTaps150ms_spontaneous,DoubleTaps150ms_P-2:3-c7-C7,DoubleTaps150ms_P-2:3-c4-C10,DoubleTaps150ms_P-2:3-c1-C13,DoubleTaps150ms_P-2:3-C7-c7,DoubleTaps150ms_P-2:3-C4-c10,DoubleTaps150ms_P-2:3-C1-c13,DoubleTaps150ms_P-3:4-c7-C7,DoubleTaps150ms_P-3:4-c10-C4,DoubleTaps150ms_P-3:4-c13-C1,DoubleTaps150ms_P-3:4-C7-c7,DoubleTaps150ms_P-3:4-C10-c4,DoubleTaps150ms_P-3:4-C13-c1,OutlierITIs25SD_spontaneous,OutlierITIs25SD_P-2:3-c7-C7,OutlierITIs25SD_P-2:3-c4-C10,OutlierITIs25SD_P-2:3-c1-C13,OutlierITIs25SD_P-2:3-C7-c7,OutlierITIs25SD_P-2:3-C4-c10,OutlierITIs25SD_P-2:3-C1-c13,OutlierITIs25SD_P-3:4-c7-C7,OutlierITIs25SD_P-3:4-c10-C4,OutlierITIs25SD_P-3:4-c13-C1,OutlierITIs25SD_P-3:4-C7-c7,OutlierITIs25SD_P-3:4-C10-c4,OutlierITIs25SD_P-3:4-C13-c1,CyclesPreTap_spontaneous,CyclesPreTap_P-2:3-c7-C7,CyclesPreTap_P-2:3-c4-C10,CyclesPreTap_P-2:3-c1-C13,CyclesPreTap_P-2:3-C7-c7,CyclesPreTap_P-2:3-C4-c10,CyclesPreTap_P-2:3-C1-c13,CyclesPreTap_P-3:4-c7-C7,CyclesPreTap_P-3:4-c10-C4,CyclesPreTap_P-3:4-c13-C1,CyclesPreTap_P-3:4-C7-c7,CyclesPreTap_P-3:4-C10-c4,CyclesPreTap_P-3:4-C13-c1,SlowConsistency_spontaneous,SlowConsistency_P-2:3-c7-C7,SlowConsistency_P-2:3-c4-C10,SlowConsistency_P-2:3-c1-C13,SlowConsistency_P-2:3-C7-c7,SlowConsistency_P-2:3-C4-c10,SlowConsistency_P-2:3-C1-c13,SlowConsistency_P-3:4-c7-C7,SlowConsistency_P-3:4-c10-C4,SlowConsistency_P-3:4-c13-C1,SlowConsistency_P-3:4-C7-c7,SlowConsistency_P-3:4-C10-c4,SlowConsistency_P-3:4-C13-c1,pSCons_spontaneous,pSCons_P-2:3-c7-C7,pSCons_P-2:3-c4-C10,pSCons_P-2:3-c1-C13,pSCons_P-2:3-C7-c7,pSCons_P-2:3-C4-c10,pSCons_P-2:3-C1-c13,pSCons_P-3:4-c7-C7,pSCons_P-3:4-c10-C4,pSCons_P-3:4-c13-C1,pSCons_P-3:4-C7-c7,pSCons_P-3:4-C10-c4,pSCons_P-3:4-C13-c1,FastConsistency_spontaneous,FastConsistency_P-2:3-c7-C7,FastConsistency_P-2:3-c4-C10,FastConsistency_P-2:3-c1-C13,FastConsistency_P-2:3-C7-c7,FastConsistency_P-2:3-C4-c10,FastConsistency_P-2:3-C1-c13,FastConsistency_P-3:4-c7-C7,FastConsistency_P-3:4-c10-C4,FastConsistency_P-3:4-c13-C1,FastConsistency_P-3:4-C7-c7,FastConsistency_P-3:4-C10-c4,FastConsistency_P-3:4-C13-c1,pFCons_spontaneous,pFCons_P-2:3-c7-C7,pFCons_P-2:3-c4-C10,pFCons_P-2:3-c1-C13,pFCons_P-2:3-C7-c7,pFCons_P-2:3-C4-c10,pFCons_P-2:3-C1-c13,pFCons_P-3:4-c7-C7,pFCons_P-3:4-c10-C4,pFCons_P-3:4-c13-C1,pFCons_P-3:4-C7-c7,pFCons_P-3:4-C10-c4,pFCons_P-3:4-C13-c1,CycleConsistency_spontaneous,CycleConsistency_P-2:3-c7-C7,CycleConsistency_P-2:3-c4-C10,CycleConsistency_P-2:3-c1-C13,CycleConsistency_P-2:3-C7-c7,CycleConsistency_P-2:3-C4-c10,CycleConsistency_P-2:3-C1-c13,CycleConsistency_P-3:4-c7-C7,CycleConsistency_P-3:4-c10-C4,CycleConsistency_P-3:4-c13-C1,CycleConsistency_P-3:4-C7-c7,CycleConsistency_P-3:4-C10-c4,CycleConsistency_P-3:4-C13-c1,pCConsspontaneous,pCConsP-2:3-c7-C7,pCConsP-2:3-c4-C10,pCConsP-2:3-c1-C13,pCConsP-2:3-C7-c7,pCConsP-2:3-C4-c10,pCConsP-2:3-C1-c13,pCConsP-3:4-c7-C7,pCConsP-3:4-c10-C4,pCConsP-3:4-c13-C1,pCConsP-3:4-C7-c7,pCConsP-3:4-C10-c4,pCConsP-3:4-C13-c1,SlowHalfConsistency_spontaneous,SlowHalfConsistency_P-2:3-c7-C7,SlowHalfConsistency_P-2:3-c4-C10,SlowHalfConsistency_P-2:3-c1-C13,SlowHalfConsistency_P-2:3-C7-c7,SlowHalfConsistency_P-2:3-C4-c10,SlowHalfConsistency_P-2:3-C1-c13,SlowHalfConsistency_P-3:4-c7-C7,SlowHalfConsistency_P-3:4-c10-C4,SlowHalfConsistency_P-3:4-c13-C1,SlowHalfConsistency_P-3:4-C7-c7,SlowHalfConsistency_P-3:4-C10-c4,SlowHalfConsistency_P-3:4-C13-c1,pSHalfCons_spontaneous,pSHalfCons_P-2:3-c7-C7,pSHalfCons_P-2:3-c4-C10,pSHalfCons_P-2:3-c1-C13,pSHalfCons_P-2:3-C7-c7,pSHalfCons_P-2:3-C4-c10,pSHalfCons_P-2:3-C1-c13,pSHalfCons_P-3:4-c7-C7,pSHalfCons_P-3:4-c10-C4,pSHalfCons_P-3:4-c13-C1,pSHalfCons_P-3:4-C7-c7,pSHalfCons_P-3:4-C10-c4,pSHalfCons_P-3:4-C13-c1,FastHalfConsistency_spontaneous,FastHalfConsistency_P-2:3-c7-C7,FastHalfConsistency_P-2:3-c4-C10,FastHalfConsistency_P-2:3-c1-C13,FastHalfConsistency_P-2:3-C7-c7,FastHalfConsistency_P-2:3-C4-c10,FastHalfConsistency_P-2:3-C1-c13,FastHalfConsistency_P-3:4-c7-C7,FastHalfConsistency_P-3:4-c10-C4,FastHalfConsistency_P-3:4-c13-C1,FastHalfConsistency_P-3:4-C7-c7,FastHalfConsistency_P-3:4-C10-c4,FastHalfConsistency_P-3:4-C13-c1,pFHalfCons_spontaneous,pFHalfCons_P-2:3-c7-C7,pFHalfCons_P-2:3-c4-C10,pFHalfCons_P-2:3-c1-C13,pFHalfCons_P-2:3-C7-c7,pFHalfCons_P-2:3-C4-c10,pFHalfCons_P-2:3-C1-c13,pFHalfCons_P-3:4-c7-C7,pFHalfCons_P-3:4-c10-C4,pFHalfCons_P-3:4-c13-C1,pFHalfCons_P-3:4-C7-c7,pFHalfCons_P-3:4-C10-c4,pFHalfCons_P-3:4-C13-c1,SlowDoubConsistency_spontaneous,SlowDoubConsistency_P-2:3-c7-C7,SlowDoubConsistency_P-2:3-c4-C10,SlowDoubConsistency_P-2:3-c1-C13,SlowDoubConsistency_P-2:3-C7-c7,SlowDoubConsistency_P-2:3-C4-c10,SlowDoubConsistency_P-2:3-C1-c13,SlowDoubConsistency_P-3:4-c7-C7,SlowDoubConsistency_P-3:4-c10-C4,SlowDoubConsistency_P-3:4-c13-C1,SlowDoubConsistency_P-3:4-C7-c7,SlowDoubConsistency_P-3:4-C10-c4,SlowDoubConsistency_P-3:4-C13-c1,pSDoubCons_spontaneous,pSDoubCons_P-2:3-c7-C7,pSDoubCons_P-2:3-c4-C10,pSDoubCons_P-2:3-c1-C13,pSDoubCons_P-2:3-C7-c7,pSDoubCons_P-2:3-C4-c10,pSDoubCons_P-2:3-C1-c13,pSDoubCons_P-3:4-c7-C7,pSDoubCons_P-3:4-c10-C4,pSDoubCons_P-3:4-c13-C1,pSDoubCons_P-3:4-C7-c7,pSDoubCons_P-3:4-C10-c4,pSDoubCons_P-3:4-C13-c1,FastDoubConsistency_spontaneous,FastDoubConsistency_P-2:3-c7-C7,FastDoubConsistency_P-2:3-c4-C10,FastDoubConsistency_P-2:3-c1-C13,FastDoubConsistency_P-2:3-C7-c7,FastDoubConsistency_P-2:3-C4-c10,FastDoubConsistency_P-2:3-C1-c13,FastDoubConsistency_P-3:4-c7-C7,FastDoubConsistency_P-3:4-c10-C4,FastDoubConsistency_P-3:4-c13-C1,FastDoubConsistency_P-3:4-C7-c7,FastDoubConsistency_P-3:4-C10-c4,FastDoubConsistency_P-3:4-C13-c1,pFDoubCons_spontaneous,pFDoubCons_P-2:3-c7-C7,pFDoubCons_P-2:3-c4-C10,pFDoubCons_P-2:3-c1-C13,pFDoubCons_P-2:3-C7-c7,pFDoubCons_P-2:3-C4-c10,pFDoubCons_P-2:3-C1-c13,pFDoubCons_P-3:4-c7-C7,pFDoubCons_P-3:4-c10-C4,pFDoubCons_P-3:4-c13-C1,pFDoubCons_P-3:4-C7-c7,pFDoubCons_P-3:4-C10-c4,pFDoubCons_P-3:4-C13-c1,AllSub_spontaneous,AllSub_P-2:3-c7-C7,AllSub_P-2:3-c4-C10,AllSub_P-2:3-c1-C13,AllSub_P-2:3-C7-c7,AllSub_P-2:3-C4-c10,AllSub_P-2:3-C1-c13,AllSub_P-3:4-c7-C7,AllSub_P-3:4-c10-C4,AllSub_P-3:4-c13-C1,AllSub_P-3:4-C7-c7,AllSub_P-3:4-C10-c4,AllSub_P-3:4-C13-c1,pAllSub_spontaneous,pAllSub_P-2:3-c7-C7,pAllSub_P-2:3-c4-C10,pAllSub_P-2:3-c1-C13,pAllSub_P-2:3-C7-c7,pAllSub_P-2:3-C4-c10,pAllSub_P-2:3-C1-c13,pAllSub_P-3:4-c7-C7,pAllSub_P-3:4-c10-C4,pAllSub_P-3:4-c13-C1,pAllSub_P-3:4-C7-c7,pAllSub_P-3:4-C10-c4,pAllSub_P-3:4-C13-c1,ChosenMeter_spontaneous,ChosenMeter_P-2:3-c7-C7,ChosenMeter_P-2:3-c4-C10,ChosenMeter_P-2:3-c1-C13,ChosenMeter_P-2:3-C7-c7,ChosenMeter_P-2:3-C4-c10,ChosenMeter_P-2:3-C1-c13,ChosenMeter_P-3:4-c7-C7,ChosenMeter_P-3:4-c10-C4,ChosenMeter_P-3:4-c13-C1,ChosenMeter_P-3:4-C7-c7,ChosenMeter_P-3:4-C10-c4,ChosenMeter_P-3:4-C13-c1,RAOtest_spontaneous,RAOtest_P-2:3-c7-C7,RAOtest_P-2:3-c4-C10,RAOtest_P-2:3-c1-C13,RAOtest_P-2:3-C7-c7,RAOtest_P-2:3-C4-c10,RAOtest_P-2:3-C1-c13,RAOtest_P-3:4-c7-C7,RAOtest_P-3:4-c10-C4,RAOtest_P-3:4-c13-C1,RAOtest_P-3:4-C7-c7,RAOtest_P-3:4-C10-c4,RAOtest_P-3:4-C13-c1,weird_spontaneous,weird_P-2:3-c7-C7,weird_P-2:3-c4-C10,weird_P-2:3-c1-C13,weird_P-2:3-C7-c7,weird_P-2:3-C4-c10,weird_P-2:3-C1-c13,weird_P-3:4-c7-C7,weird_P-3:4-c10-C4,weird_P-3:4-c13-C1,weird_P-3:4-C7-c7,weird_P-3:4-C10-c4,weird_P-3:4-C13-c1,weirdNumb
"1","ce7e5e1b7c7c6079b88e8e74dbb937b9e11a97e9a0a4475c1bd1a17058550d4c","615.785","666.79","668.0105","668.37726","443.50605","440.53226","444.39393","696.94001","666.21818","664.33634","665.21052","496.83449","500.40666","20.54483","18.10429","30.11862","18.36268","22.99847","25.93463","22.66727","143.7855","29.57243","16.48261","25.18787","20.34702","20.85984","23","23","23","26","36","35","36","24","25","25","22","33","33","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","1","0","0.045582","2.8137","2.3159","1.8226","2.1264","2.106","2.1239","1.2024","1.5519","1.5543","2.5513","1.5342","1.545","0.93927","0.98987","0.9846","0.98895","0.062844","0.037901","0.028316","0.9883","0.97774","0.98882","0.9812","0.046966","0.052718","5.703e-12","1.2403e-14","2.7792e-14","5.2185e-16","0.87594","0.95436","0.97349","3.0509e-15","3.2655e-15","5.3375e-16","2.2058e-13","0.93489","0.91866","0.93927","0.040515","0.11472","0.035654","0.97625","0.9517","0.96852","0.074033","0.06879","0.068158","0.069059","0.97501","0.97817","5.703e-12","0.96688","0.76276","0.97178","1.6038e-22","1.0663e-19","9.366e-22","0.88865","0.89885","0.9006","0.91105","2.2093e-20","1.1155e-20","0.93927","0.046778","0.059496","0.042605","0.014673","0.066535","0.03703","0.054642","0.047314","0.050229","0.052844","0.032297","0.030698","5.703e-12","0.95609","0.92991","0.95995","0.99281","0.86583","0.95508","0.93775","0.95083","0.94476","0.94694","0.96867","0.97165","0.93927","0.046778","0.059496","0.042605","0.014673","0.066535","0.03703","0.0074764","0.047939","0.04296","0.012776","0.045697","0.037568","5.703e-12","0.95609","0.92991","0.95995","0.99281","0.86583","0.95508","0.9988","0.94956","0.95929","0.99682","0.93825","0.95784","0.93927","0.044611","0.045667","0.067694","0.029007","0.033689","0.006109","0.023289","0.042866","0.030414","0.050217","0.040883","0.037094","5.703e-12","0.95998","0.9581","0.90188","0.97219","0.96377","0.99875","0.9884","0.95946","0.97939","0.95196","0.95027","0.95888","0.93927","0.96002","0.93956","0.95651","0.028455","0.09063","0.066251","0.95397","0.91296","0.95587","0.92658","0.077561","0.068101","5.703e-12","6.5198e-13","5.5428e-12","5.8146e-14","0.97323","0.76526","0.8631","3.1734e-13","5.6618e-12","6.2881e-14","6.415e-11","0.8321","0.86793","0.93927","0.91196","0.86824","0.90472","0.90848","0.82183","0.87847","0.071919","0.069301","0.046158","0.094243","0.90306","0.91704","5.703e-12","6.4963e-11","1.6644e-09","1.1841e-11","2.4075e-17","9.6328e-13","1.0759e-15","0.89458","0.89742","0.95315","0.84058","1.5226e-15","2.6558e-16","0.93927","0.91196","0.86824","0.90472","0.90848","0.82183","0.87847","0.82737","0.68213","0.8323","0.73344","0.79278","0.82839","5.703e-12","6.4963e-11","1.6644e-09","1.1841e-11","2.4075e-17","9.6328e-13","1.0759e-15","8.8077e-09","6.0943e-06","2.6779e-09","4.2903e-06","5.679e-11","3.0517e-12","12","12","12","12","22","22","22","12","12","12","12","22","22","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","1","1","1","1","0","0","0","0","0","0","0","0","0","4"
"2","53b7950c3978c617abe9934d0a8415bd49d8ecefeae8f2bd6296f6a26d1d2636","495.77562","651.67711","664.9575","669.00795","438.31429","443.73983","637.746","853.56281","664.20556","625.49935","664.26125","551.10261","501.77224","38.97195","57.22668","93.65679","50.47891","26.62761","40.77263","47.538","342.4354","44.93089","41.15305","34.52418","146.129","40.89381","28","22","24","25","32","34","24","19","21","26","24","27","33","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","1","1","0","0","0","1","1","1","0.041848","3.3605","1.8767","1.8067","3.5209","2.8978","2.1653","1.6233","2.934","1.6177","1.5904","2.0098","1.2038","0.68545","0.35511","0.7298","0.88612","0.033482","0.040525","0.59649","0.29837","0.92564","0.45727","0.94606","0.090979","0.098906","1.0405e-06","0.078927","1.4067e-06","5.6251e-11","0.96745","0.94955","0.0002147","0.22258","2.3893e-10","0.0055673","7.6005e-13","0.81605","0.74145","0.68545","0.032496","0.19772","0.1967","0.86461","0.72375","0.069468","0.14662","0.12623","0.10821","0.068724","0.59276","0.73053","1.0405e-06","0.9796","0.42787","0.41514","2.7841e-13","3.7602e-09","0.90129","0.6999","0.74372","0.75877","0.90329","7.5163e-05","4.5409e-09","0.68545","0.041149","0.062903","0.079954","0.015208","0.028424","0.062937","0.10632","0.054937","0.050103","0.045618","0.049608","0.01967","1.0405e-06","0.96749","0.91833","0.86578","0.9932","0.97486","0.91825","0.82929","0.94562","0.94266","0.9562","0.94143","0.98826","0.68545","0.041149","0.062903","0.079954","0.015208","0.028424","0.062937","0.1446","0.05508","0.028097","0.096227","0.10446","0.027311","1.0405e-06","0.96749","0.91833","0.86578","0.9932","0.97486","0.91825","0.70679","0.94535","0.98161","0.81904","0.7648","0.9775","0.68545","0.072477","0.15874","0.050017","0.017377","0.042162","0.024469","0.11991","0.077329","0.031604","0.060992","0.066108","0.057054","1.0405e-06","0.90247","0.57964","0.94521","0.99113","0.94551","0.9872","0.788","0.89506","0.97679","0.92303","0.89832","0.90539","0.68545","0.33212","0.42485","0.59996","0.035449","0.040067","0.31888","0.27789","0.72976","0.085225","0.79922","0.14873","0.084998","1.0405e-06","0.1095","0.017139","0.00012894","0.96359","0.95066","0.10612","0.2727","9.3755e-06","0.84277","4.4769e-08","0.57981","0.80188","0.68545","0.23462","0.11847","0.31935","0.54266","0.3689","0.31009","0.068134","0.080562","0.088465","0.10287","0.2661","0.18555","1.0405e-06","0.33671","0.73865","0.09492","8.138e-05","0.011804","0.12025","0.92612","0.88662","0.83165","0.79595","0.17101","0.34671","0.68545","0.23462","0.11847","0.31935","0.54266","0.3689","0.31009","0.17738","0.29037","0.17713","0.39941","0.144","0.22572","1.0405e-06","0.33671","0.73865","0.09492","8.138e-05","0.011804","0.12025","0.59242","0.20322","0.47554","0.028059","0.6","0.20721","12","88","12","12","22","22","12","88","12","12","12","22","22","0.001","0.5","0.01","0.001","0.001","0.001","0.05","0.5","0.001","0.5","0.001","0.5","0.001","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"3","cc8afe7243a9c8ec8842f4d99d279da6c3f42d29c87778bb39863cc03dea24d4","588.51932","650.20042","439.09309","780.85389","820.6175","806.63833","833.83906","666.23804","669.33238","666.23182","664.28795","662.45523","666.595","15.98528","197.0791","19.02579","121.5784","130.3128","154.0801","102.7711","25.19181","17.35699","22.23863","22.71825","13.83244","16.34403","25","38","37","35","33","36","35","26","25","25","25","26","26","0","11","0","14","14","15","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0.035129","1.4247","1.8564","1.59","2.8161","1.6254","2.6683","0.98095","1.4129","1.4174","1.4291","0.95151","0.76971","0.96985","0.052732","0.014358","0.34742","0.14985","0.12032","0.16415","0.96974","0.98886","0.98118","0.96732","0.98313","0.98796","1.0235e-14","0.93407","0.99291","0.10001","0.68878","0.76419","0.639","2.3321e-15","5.3058e-16","1.9142e-15","1.4474e-14","2.8159e-16","1.1926e-16","0.96985","0.24394","0.5568","0.53868","0.61743","0.6132","0.7555","0.075875","0.093025","0.06437","0.086896","0.040328","0.018796","1.0235e-14","0.22765","8.6802e-06","0.0030158","0.00091698","0.00044103","1.3314e-05","0.87325","0.82267","0.91086","0.84343","0.96247","0.99173","0.96985","0.020873","0.039016","0.041385","0.075609","0.080991","0.070905","0.015514","0.054314","0.050799","0.053102","0.010288","0.0032977","1.0235e-14","0.98938","0.94881","0.96878","0.9098","0.88548","0.92024","0.99436","0.93571","0.94353","0.93846","0.99751","0.99974","0.96985","0.020873","0.039016","0.041385","0.075609","0.080991","0.070905","0.017066","0.046557","0.046103","0.044088","0.01527","0.0051603","1.0235e-14","0.98938","0.94881","0.96878","0.9098","0.88548","0.92024","0.99318","0.95235","0.95326","0.95717","0.99453","0.99937","0.96985","0.28013","0.018368","0.21038","0.81972","0.78082","0.29207","0.022259","0.034366","0.025609","0.03457","0.020179","0.0037263","1.0235e-14","0.14071","0.98842","0.43685","9.8702e-07","1.1341e-06","0.23734","0.98842","0.97376","0.98534","0.97345","0.99047","0.99967","0.96985","0.12247","0.017304","0.37808","0.16228","0.12329","0.14448","0.88386","0.95607","0.92753","0.87505","0.93409","0.9525","1.0235e-14","0.69144","0.98972","0.064392","0.64558","0.75394","0.70721","2.3299e-11","6.1392e-14","1.4096e-12","1.3365e-10","2.0129e-13","2.3687e-14","0.96985","0.75772","0.16625","0.73992","0.83725","0.8206","0.95514","0.013053","0.10194","0.052359","0.080243","0.069508","0.008954","1.0235e-14","4.7704e-08","0.38278","6.3091e-06","4.3994e-07","1.7179e-07","2.9426e-10","0.996","0.79095","0.94011","0.86488","0.89251","0.99812","0.96985","0.75772","0.16625","0.73992","0.83725","0.8206","0.95514","0.60842","0.83403","0.75174","0.58608","0.76007","0.8202","1.0235e-14","4.7704e-08","0.38278","6.3091e-06","4.3994e-07","1.7179e-07","2.9426e-10","6.4177e-05","2.393e-09","2.5839e-07","0.00020327","8.4243e-08","2.4493e-09","12","40","22","40","40","40","40","12","12","12","12","12","12","0.001","0.001","0.1","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"4","d998baa8542d29f15124bbd357bd259bdf54c2d25b78de04e28828886363701c","376.57143","665.4","669","665.68421","443.19355","443.96875","459","668.5","668.30435","667.90909","667.33333","499.96552","500.06667","15.81936","23.61623","33.46356","28.22539","27.88598","20.85199","81.02533","24.14539","23.57471","24.31913","21.00242","16.03007","21.67301","39","23","25","24","35","35","39","24","27","26","27","34","33","0","0","0","1","0","0","5","0","1","1","0","1","0","1","0","0","1","1","0","1","1","0","0","0","1","0","0.02515","2.7953","1.8075","2.3828","2.1307","2.4578","2.1248","1.562","1.189","1.533","0.8645","1.527","1.561","0.90199","0.97789","0.97545","0.98001","0.006826","0.013116","0.10539","0.98714","0.98554","0.97915","0.98603","0.044498","0.039085","1.9139e-18","7.1674e-14","4.5945e-15","5.3601e-14","0.99849","0.99442","0.70404","3.6951e-15","1.8486e-16","2.6309e-15","3.3069e-17","0.94135","0.95445","0.90199","0.046538","0.057003","0.056574","0.94844","0.97141","0.96173","0.032045","0.019289","0.035781","0.0085216","0.94642","0.98197","1.9139e-18","0.95653","0.92941","0.93641","1.8908e-19","2.2456e-21","6.9931e-20","0.97815","0.99129","0.97158","0.99822","3.9684e-18","4.7196e-21","0.90199","0.047499","0.045351","0.048578","0.0078301","0.0061527","0.074535","0.071288","0.0050235","0.040559","0.031353","0.029094","0.032501","1.9139e-18","0.95475","0.95474","0.95272","0.99801","0.99877","0.83922","0.89633","0.99941","0.96363","0.97619","0.9745","0.96828","0.90199","0.047499","0.045351","0.048578","0.0078301","0.0061527","0.074535","0.012564","0.012337","0.048805","0.04319","0.03672","0.029148","1.9139e-18","0.95475","0.95474","0.95272","0.99801","0.99877","0.83922","0.99661","0.99643","0.94777","0.95529","0.95969","0.97441","0.90199","0.044924","0.074204","0.065072","0.037206","0.033917","0.012104","0.12981","0.010884","0.05134","0.058502","0.041518","0.036601","1.9139e-18","0.95943","0.88328","0.91673","0.95598","0.96329","0.99539","0.69491","0.99722","0.94236","0.91948","0.94875","0.95994","0.90199","0.91498","0.90413","0.92192","0.037766","0.023208","0.082209","0.94937","0.94304","0.91892","0.94497","0.081472","0.059515","1.9139e-18","5.0556e-11","1.2471e-11","2.7984e-11","0.95468","0.98264","0.80792","5.3071e-13","7.3684e-14","3.2502e-12","1.544e-14","0.81642","0.89749","0.90199","0.82089","0.79269","0.83119","0.81709","0.88915","0.85648","0.22405","0.053271","0.083486","0.12226","0.8001","0.92949","1.9139e-18","3.0567e-08","2.9308e-08","1.6931e-08","1.4764e-12","8.7679e-16","8.7536e-14","0.33519","0.93542","0.85457","0.69234","3.2025e-11","4.9512e-17","0.90199","0.82089","0.79269","0.83119","0.81709","0.88915","0.85648","0.81015","0.78592","0.71015","0.79301","0.60114","0.84722","1.9139e-18","3.0567e-08","2.9308e-08","1.6931e-08","1.4764e-12","8.7679e-16","8.7536e-14","2.4242e-08","1.9973e-08","1.8348e-06","6.0417e-09","4.9933e-06","5.5658e-13","12","12","12","12","22","22","22","12","12","12","12","22","22","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","1","1","1","1","0","0","0","0","0","0","0","0","0","4"
